number,study,date,authors,title,journal,year,topic_raw,topic,topic_description,measures,measures_order,stimClass_raw,stimClass,visualMoving,stimType,design,subComp,location,sleeping,study_description,brainRegions_raw,measures_raw,numberSegment_raw,numberSegments,durationSegment_raw,durationSegment,completedSegment,completedDuration,length,age_raw,age,ageRange_raw,ageRange,newborn,female,femaleProp,characteristics,preterm,groupType,inclusionCriteria,manufacturer,version,detectors,channels,recruited,excludedBaby,excludedSig,excludedExp,excludedOther,finalSample_raw,finalSample,includeOverall,includeReasons,attrition,attritionBaby,attritionSig,attritionExp
60b,60,5/24/20,"Emberson, Lauren L.; Boldin, Alex M.; Robertson, Claire E.; Cannon, Grace; Aslin, Richard N.",Expectation affects neural repetition suppression in infancy,Developmental Cognitive Neuroscience,2019,"B,C ",B,"Sensitivity of auditory repetition suppression to top-down mechanisms (i.e., prediction)",A ,A,"A,C",AV,static,"A,D",A,"A,C ",lab,awake,"Block design - uniform blocks (same English word repeated 8 times) vs. variable blocks (8 English words shuffled in random order), 2 conditions differ in the ratio of blocks (Control condition: 50% uniform, 50% variable; Variable Expectation condition: 25% uniform, 75% variable), blocks separated by 4-9s baseline video of fireworks","A,C,D",A,"16 (control group), 32 (variable expectation group)",32,Not reported ,NA,"10.62 (control group - 5.28 uniform blocks + 5.34 variable blocks), 21.38 (variable expectation group - 5.44 uniform blocks, 15.94 variable blocks)",Not reported ,NA,6.37 (variable expectation group),6.37,5 to 7,5 to 7,non-newborn,10,0.555555556,None ,full-term,td,Not reported ,Hitachi,ETG 4000,NA,24,24,4,0,2,0,18,18,1,1,0.25,0.166666667,NA,0.083333333
61a,61,5/26/20,"Emberson, Lauren L.; Cannon, Grace; Palmeri, Holly; Richards, John E.; Aslin, Richard N.",Using fNIRS to examine occipital and temporal responses to stimulus repetition in young infants: Evidence of selective frontal cortex involvement,Developmental Cognitive Neuroscience,2017,"B,C,D",B,Repetition suppression in the visual and auditory domains,A,A,"A,C",AV,static,"A,D (study 1, 3)",A,A,lab,awake,"3 different experiments: Block design - 16 auditory blocks (English words), 16 visual blocks (faces), each consisting of 8 repeated blocks (same stimulus presented 8 times) and 8 variable blocks (8 different items presented in random order), 8s each, separated by 4-9s baseline (Exp1/3); Block design similar to Exp1/3 but includes an extra face (9 total) to create a super repeated face block and also added fruit as another visual stimulus category with both repeated and variable blocks (Exp2)","A,C,D",A,"32 (study 1,3), 40 (study 2)",32,8,8,"22 (study 1), 24.3 (study 2), 17 (study 3)","176 (study 1), 194.4 (study 2), 136 (study 3)",256,5.8 (study 1),5.8,5 to 7,5 to 7,non-newborn,9,0.5,None,full-term,td,Not reported ,Hitachi,ETG 4000,NA,24,26,1,7,0,0,18,18,1,1,0.307692308,0.038461538,0.269230769,NA
61b,61,5/26/20,"Emberson, Lauren L.; Cannon, Grace; Palmeri, Holly; Richards, John E.; Aslin, Richard N.",Using fNIRS to examine occipital and temporal responses to stimulus repetition in young infants: Evidence of selective frontal cortex involvement,Developmental Cognitive Neuroscience,2017,"B,C,D",B,Repetition suppression in the visual and auditory domains,A,A,"A,C",AV,static,"A,D,I (fruits, study 2)",A,A,lab,awake,"3 different experiments: Block design - 16 auditory blocks (English words), 16 visual blocks (faces), each consisting of 8 repeated blocks (same stimulus presented 8 times) and 8 variable blocks (8 different items presented in random order), 8s each, separated by 4-9s baseline (Exp1/3); Block design similar to Exp1/3 but includes an extra face (9 total) to create a super repeated face block and also added fruit as another visual stimulus category with both repeated and variable blocks (Exp2)","A,C,D",A,"32 (study 1,3), 40 (study 2)",40,8,8,"22 (study 1), 24.3 (study 2), 17 (study 3)","176 (study 1), 194.4 (study 2), 136 (study 3)",320,6 (study 2),6,5 to 7,5 to 7,non-newborn,9,0.6,None,full-term,td,Not reported ,Hitachi,ETG 4000,NA,24,23,6,2,0,0,15,15,1,1,0.347826087,0.260869565,0.086956522,NA
61c,61,5/26/20,"Emberson, Lauren L.; Cannon, Grace; Palmeri, Holly; Richards, John E.; Aslin, Richard N.",Using fNIRS to examine occipital and temporal responses to stimulus repetition in young infants: Evidence of selective frontal cortex involvement,Developmental Cognitive Neuroscience,2017,"B,C,D",B,Repetition suppression in the visual and auditory domains,A,A,"A,C",AV,static,"A,D (study 1, 3)",A,A,lab,awake,"3 different experiments: Block design - 16 auditory blocks (English words), 16 visual blocks (faces), each consisting of 8 repeated blocks (same stimulus presented 8 times) and 8 variable blocks (8 different items presented in random order), 8s each, separated by 4-9s baseline (Exp1/3); Block design similar to Exp1/3 but includes an extra face (9 total) to create a super repeated face block and also added fruit as another visual stimulus category with both repeated and variable blocks (Exp2)","A,C,D",A,"32 (study 1,3), 40 (study 2)",32,8,8,"22 (study 1), 24.3 (study 2), 17 (study 3)","176 (study 1), 194.4 (study 2), 136 (study 3)",256,6.1 (study 3),6.1,5 to 7,5 to 7,non-newborn,9,0.45,None,full-term,td,Not reported ,Hitachi,ETG 4000,NA,24,25,4,0,1,0,20,20,1,1,0.2,0.16,NA,0.04
62a,62,5/26/20,"Emberson, Lauren L.; Crosswhite, Stephen L.; Richards, John E.; Aslin, Richard N.","The lateral occipital cortex is selective for object shape, not texture/color, at six months",The Journal of Neuroscience,2017,"D,B",D,Functional specialization of the LOC in 6-month olds,A,A,"A,C (shape group only but auditory data not reported in paper)",AV,static,"A,F,G (shape group only but auditory data not reported in paper)",A,C,lab,awake,"Block design - uniform blocks (same visual cartoon face presented 8 times) vs. variable blocks (8 cartoon faces shuffled in random order), 8s each, separated by 4-9s baseline, stimuli varied based on visual feature by condition (shape vs. texture)",C,A,"16 (texture), 20 (shape)",20,8,8,Not reported ,Not reported ,160,5.78 (shape group),5.78,4.9 to 7 (shape group),4.9 to 7,non-newborn,13,0.684210526,None,full-term,td,Not reported ,Hitachi,ETG 4000,8,24,24,2,3,0,0,19,19,1,1,0.208333333,0.083333333,0.125,NA
62b,62,5/26/20,"Emberson, Lauren L.; Crosswhite, Stephen L.; Richards, John E.; Aslin, Richard N.","The lateral occipital cortex is selective for object shape, not texture/color, at six months",The Journal of Neuroscience,2017,"D,B",D,Functional specialization of the LOC in 6-month olds,A,A,"A,C (shape group only but auditory data not reported in paper)",AV,static,"A,F,G (shape group only but auditory data not reported in paper)",A,C,lab,awake,"Block design - uniform blocks (same visual cartoon face presented 8 times) vs. variable blocks (8 cartoon faces shuffled in random order), 8s each, separated by 4-9s baseline, stimuli varied based on visual feature by condition (shape vs. texture)",C,A,"16 (texture), 20 (shape)",16,8,8,Not reported ,Not reported ,128,5.9 (texture group),5.9,5.1 to 7.4 (texture group),5.1 to 7.4,non-newborn,12,0.545454545,None,full-term,td,Not reported ,Hitachi,ETG 4000,8,24,26,3,0,1,0,22,22,1,1,0.153846154,0.115384615,NA,0.038461538
63,63,4/1/20,"Emberson, Lauren L.; Richards, John E.; Aslin, Richard N.",Top-down modulation in the infant brain: Learning-induced expectations rapidly affect the sensory cortex at 6 months,PNAS Proceedings of the National Academy of Sciences of the United States of America,2015,"B,E",B,Expectation during cross-modal stimulus omission,A,A,"B,C",AV,moving,"A,F,G","A,B","A,C",lab,awake,"Visual omission group: one block is comprised of 6 A+V+ trials, with 4-9s (mean, 6.5s) baseline videos of fireworks between every block; 3 familiarization blocks at beginning; test blocks followed by 4 single trials (2 A+V+, 2 A+V-) and the same baseline videos of fireworks between single trials; each baby sits until they become fussy/inattentive (6.29 block, 6.7 single trials of each type on average)Control group: no familiarization, single trials of 2 types (A+V-, A-V+) with 4-9s (mean, 6.5s) baseline videos of fireworks between trials; each baby sits until they become fussy/inattentive (6.9 trials of each type completed on average)","C,D",A,until the infant became fussy or consistently inattentive,NA,1.75,1.75,"visual omission: 6.7 trials + 6.29 blockscontrol: 6.9 trials ",Not reported,NA,5.7,5.7,5 to 7,5 to 7,non-newborn,22,0.611111111,None,full-term,td,"Full-term, no health problems/surgeries, no ear infections, no visual/hearing impairment",Hitatchi system and HomER 1 analysis software,Not reported,NA,24,51,8,6,1,0,36,36,1,1,0.294117647,0.156862745,0.117647059,0.019607843
64,64,5/26/20,"Farzam, P.; Buckley, E. M.; Lin, P. Y.; Hagan, K.; Grant, P. E.; Inder, T. E.; Carp, S. A.; Franceschini, M. A.",Shedding light on the neonatal brain: Probing cerebral hemodynamics by diffuse optical spectroscopic methods,Scientific Reports,2017,H,H,Resting state cerebral hemodynamics of the healthy newborn male and female brain,"A,F (DCS - diffuse correlation spectroscopy)",A,F ,None,,H,C ,"A,C",hospital,sleeping,10s recordings taken multiple times from 7 ROIs while infants were sleeping in bed or resting in their mother's arms,"A,B,D",A,Not reported ,NA,10,10,Not reported ,Not reported ,NA,"2.4 days (2.6 days for female group, 2.4 days for male group)",0.08,Not reported ,Newborn,newborn,11,0.366666667,None ,full-term,td,"healthy, fullterm",Hamamatsu,Not reported ,2,4,Not reported ,NA,Not reported ,Not reported ,Not reported,30,30,0,0,NA,NA,NA,NA
67,67,5/26/20,"Fava, Eswen; Hull, Rachel; Bortfeld, Heather",Dissociating cortical activity during processing of native and non-native audiovisual speech from early to late infancy,Brain Sciences,2014,C,C,Cortical activity when processing native vs. non-native audiovisual speech signals,A,A,"A,B,C",AV,moving,"A,D,F","A,B","A,D",lab,awake,"Spanish blocks (5 20s audiovisual stories in Spanish) + 2 visual-only trials (20s animated shapes) + English blocks (5 20s audiovisual stories in English), each trial separated by 10s baseline",D,A,Not reported ,NA,20,20,Not reported ,Not reported ,NA,"167 days (3-6mo group), 252 days (7-10mo group), 352 days (11-14mo group)",8.03,3 to 14 ,3 to 14,non-newborn,17,0.485714286,None ,full-term,td,Monolingual English speaking households,TechEn,Not reported ,4,4,45,5,1,4,0,35,35,1,1,0.688888889,0.111111111,0.022222222,0.088888889
68a,68,5/26/20,"Ferry, A. L.; Flo, A.; Brusini, P.; Cattarossi, L.; Macagno, F.; Nespor, M.; Mehler, J.",On the edge of language acquisition: inherent constraints on encoding multisyllabic sequences in the neonate brain,Dev Sci,2016,C,C,Cortical responses to syllable segmentation in newborns,A,A,C,A,,D,A,C,hospital,awake,"Alternating block design (6 familiarization blocks, 56s each, 6 multisyllabic sequences repeated 20 times per block, separated by 0.5-1.5s ISI + 6 blocks, 14s each), separated by 25-30s baseline periods, study 1 included 2 conditions (edge switch group - positions of first and last syllables switched during test, internal switch group - positions of third and fourth syllables switched), study 2 added pause switch condition (25ms pause added between third and fourth syllables in both familiarization and test)","A,D",A,"12 (6 familiarization blocks, 6 test blocks)",12,"56 (familiarization), 14 (test)",35,Not reported ,13 mins ,420,2.75 days (edge switch group),0.091666667,2 to 4 days (edge switch group),Newborn,newborn,6,0.375,Italian ,full-term,td,"healthy, full-term, monolingual Italian, Apgar at least 7 in the first minute and 8 in the fifth minute, head diameter at least 33cm, no cephalohematoma",Hitachi,ETG 4000,8,24,37,3,17,1,0,16,16,1,1,0.567567568,0.081081081,0.45945946,0.027027027
68b,68,5/26/20,"Ferry, A. L.; Flo, A.; Brusini, P.; Cattarossi, L.; Macagno, F.; Nespor, M.; Mehler, J.",On the edge of language acquisition: inherent constraints on encoding multisyllabic sequences in the neonate brain,Dev Sci,2016,C,C,Cortical responses to syllable segmentation in newborns,A,A,C,A,,D,A,C,hospital,awake,"Alternating block design (6 familiarization blocks, 56s each, 6 multisyllabic sequences repeated 20 times per block, separated by 0.5-1.5s ISI + 6 blocks, 14s each), separated by 25-30s baseline periods, study 1 included 2 conditions (edge switch group - positions of first and last syllables switched during test, internal switch group - positions of third and fourth syllables switched), study 2 added pause switch condition (25ms pause added between third and fourth syllables in both familiarization and test)","A,D",A,"12 (6 familiarization blocks, 6 test blocks)",12,"56 (familiarization), 14 (test)",35,Not reported ,13 mins ,420,3.1 days (internal switch group),0.103333333,2 to 4 days (internal switch group),Newborn,newborn,10,0.625,Italian ,full-term,td,"healthy, full-term, monolingual Italian, Apgar at least 7 in the first minute and 8 in the fifth minute, head diameter at least 33cm, no cephalohematoma",Hitachi,ETG 4000,8,24,31,5,10,0,0,16,16,1,1,0.483870968,0.161290323,0.322580645,NA
68c,68,5/26/20,"Ferry, A. L.; Flo, A.; Brusini, P.; Cattarossi, L.; Macagno, F.; Nespor, M.; Mehler, J.",On the edge of language acquisition: inherent constraints on encoding multisyllabic sequences in the neonate brain,Dev Sci,2016,C,C,Cortical responses to syllable segmentation in newborns,A,A,C,A,,D,A,C,hospital,awake,"Alternating block design (6 familiarization blocks, 56s each, 6 multisyllabic sequences repeated 20 times per block, separated by 0.5-1.5s ISI + 6 blocks, 14s each), separated by 25-30s baseline periods, study 1 included 2 conditions (edge switch group - positions of first and last syllables switched during test, internal switch group - positions of third and fourth syllables switched), study 2 added pause switch condition (25ms pause added between third and fourth syllables in both familiarization and test)","A,D",A,"12 (6 familiarization blocks, 6 test blocks)",12,"56 (familiarization), 14 (test)",35,Not reported ,13 mins ,420,2.75 days (pause switch group),0.091666667,1 to 5 days (pause switch group),Newborn,newborn,10,0.625,Italian ,full-term,td,"healthy, full-term, monolingual Italian, Apgar at least 7 in the first minute and 8 in the fifth minute, head diameter at least 33cm, no cephalohematoma",Hitachi,ETG 4000,8,24,28,0,12,0,0,16,16,1,1,0.428571429,NA,0.428571429,NA
69a,69,5/26/20,"Filippetti, M. L.; Lloyd-Fox, S.; Longo, M. R.; Farroni, T.; Johnson, M. H.",Neural mechanisms of body awareness in infants,Cerebral Cortex,2015,"F,E",F,Cortical responses to contingency detection for the development of body awareness,A,A,B (study 1),V,moving,A (study 1),B,C,lab,awake,"12s baseline + 15s experimental trial (video of infant's own face and upper body), 2 conditions in study 1 (contingent group - videos presented in real time, non-contingent group - 3s delay so infant's bodily motion did not match video), study 2 followed same procedure but added tactile stimulation (brushstrokes on cheek, 1s each, presented either in contingent or non-contingent manner), experiment continued until infants became bored or fussy","A (study 1), A,D (study 2)",A,Infinite ,NA,15,15,Not reported ,Not reported ,NA,151.9 days (study 1),4.99,5,5,non-newborn,9,0.529411765,None,full-term,td,Not reported ,UCL,Not reported ,NA,26,32,11,2,2,0,17,17,1,1,0.46875,0.34375,0.0625,0.0625
69b,69,5/26/20,"Filippetti, M. L.; Lloyd-Fox, S.; Longo, M. R.; Farroni, T.; Johnson, M. H.",Neural mechanisms of body awareness in infants,Cerebral Cortex,2015,"F,E",F,Cortical responses to contingency detection for the development of body awareness,A,A,"B,D (study 2)",Other,,"A,I-brushstrokes (study 2)",B,C,lab,awake,"12s baseline + 15s experimental trial (video of infant's own face and upper body), 2 conditions in study 1 (contingent group - videos presented in real time, non-contingent group - 3s delay so infant's bodily motion did not match video), study 2 followed same procedure but added tactile stimulation (brushstrokes on cheek, 1s each, presented either in contingent or non-contingent manner), experiment continued until infants became bored or fussy","A (study 1), A,D (study 2)",A,Infinite ,NA,15,15,Not reported ,Not reported ,NA,151.4 days (study 2),4.97,5,5,non-newborn,5,0.454545455,None,full-term,td,Not reported ,UCL,Not reported ,NA,30,30,12,5,2,0,11,11,1,1,0.633333333,0.4,0.166666667,0.066666667
70a,70,5/26/20,"Fläš_äŠ«, Ana; Brusini, Perrine; Macagno, Francesco; Nespor, Marina; Mehler, Jacques; Ferry, Alissa L.",Newborns are sensitive to multiple cues for word segmentation in continuous speech,Developmental Science,2019,C,C,Cortical sensitivity to statistical and prosodic cues to word boundary in newborn infants,A,A,C,A,,D,A,"A,C",hospital,awake,Four tri-syllabic words were created. In an initial long habituation phase (220s) infants were presented with a speech stream including each of the words 60 times and 12 part-words 17-21 times. Short habituation streams (30s) then presented each word 32 times and 12 part-words 7-12 times. Test blocks were interleaved with short habituation blocks which included either the four words or four part words. Study 2 was identical to study 1 except included prosodic contours.,"A,D",A,Not reported ,NA,"220 (long familiarization), 30 (short re-familiarization), 15 (test)",NA,Not reported ,Not reported ,NA,3.3 days (study 1),0.11,2 to 7 days (study 1),Newborn,newborn,17,0.425,Italian ,full-term,td,"healthy, full-term, monolingual Italian, Apgar at least 7 in the first minute and 8 in the fifth minute, head diameter at least 33cm, no cephalohematoma",Hitachi,ETG 4000,8,24,94,10,42,2,0,40,40,1,1,0.574468085,0.106382979,0.446808511,0.021276596
70b,70,5/26/20,"Fläš_äŠ«, Ana; Brusini, Perrine; Macagno, Francesco; Nespor, Marina; Mehler, Jacques; Ferry, Alissa L.",Newborns are sensitive to multiple cues for word segmentation in continuous speech,Developmental Science,2019,C,C,Cortical sensitivity to statistical and prosodic cues to word boundary in newborn infants,A,A,C,A,,D,A,"A,C",hospital,awake,Four tri-syllabic words were created. In an initial long habituation phase (220s) infants were presented with a speech stream including each of the words 60 times and 12 part-words 17-21 times. Short habituation streams (30s) then presented each word 32 times and 12 part-words 7-12 times. Test blocks were interleaved with short habituation blocks which included either the four words or four part words. Study 2 was identical to study 1 except included prosodic contours.,"A,D",A,Not reported ,NA,"220 (long familiarization), 30 (short re-familiarization), 15 (test)",NA,Not reported ,Not reported ,NA,3.2 days (study 2),0.106666667,1 to 5 days (study 2),Newborn,newborn,21,0.525,Italian ,full-term,td,"healthy, full-term, monolingual Italian, Apgar at least 7 in the first minute and 8 in the fifth minute, head diameter at least 33cm, no cephalohematoma",Hitachi,ETG 4000,8,24,91,10,40,1,0,40,40,1,1,0.56043956,0.10989011,0.43956044,0.010989011
71a,71,6/1/20,"Fox, Sharon E.; Wagner, Jennifer B.; Shrock, Christine L.; Tager-Flusberg, Helen; Nelson, Charles A.",Neural processing of facial identity and emotion in infants at high-risk for autism spectrum disorders,Frontiers in Human Neuroscience,2013,F,F,Cortical responses to face identity and emotion in infants with low vs. high risk for ASD diagnosis,A,A,B ,V,moving,A,B,"A,C",lab,awake,"14 trials (7 of mother and 7 of stranger, presented in one of two semi-random orders). Each trial consisted of a 32s video of a transition from a neutral to a smiling expression, separated by 5s ITI or until infants attended to central fixation cross",A,A,14,14,32,32,13.4,26.8,448,7.06 (high risk),7.06,5 to 7,5 to 7,non-newborn,6,0.6,Familial risk for ASD (high-risk group),full-term,td_risk,"full-term (36+ weeks gestation), birthweight >2500g, no known neurological or uncorrected visual abnormalities, one older sibling/no immediate relatives with ASD diagnosis (low-risk group) or one older sibling with ASD diagnosis (high-risk group)",Hitachi,ETG 4000,8,24,10,0,0,0,0,10,10,1,1,0,NA,NA,NA
71b,71,6/1/20,"Fox, Sharon E.; Wagner, Jennifer B.; Shrock, Christine L.; Tager-Flusberg, Helen; Nelson, Charles A.",Neural processing of facial identity and emotion in infants at high-risk for autism spectrum disorders,Frontiers in Human Neuroscience,2013,F,F,Cortical responses to face identity and emotion in infants with low vs. high risk for ASD diagnosis,A,A,B ,V,moving,A,B,"A,C",lab,awake,"14 trials (7 of mother and 7 of stranger, presented in one of two semi-random orders). Each trial consisted of a 32s video of a transition from a neutral to a smiling expression, separated by 5s ITI or until infants attended to central fixation cross",A,A,14,14,32,32,13.4,26.8,448,6.91 (low risk),6.91,5 to 7,5 to 7,non-newborn,6,0.6,None,full-term,td,"full-term (36+ weeks gestation), birthweight >2500g, no known neurological or uncorrected visual abnormalities, one older sibling/no immediate relatives with ASD diagnosis (low-risk group) or one older sibling with ASD diagnosis (high-risk group)",Hitachi,ETG 4000,8,24,15,2,1,0,2 (could not be matched to a high-risk infant),10,10,1,1,0.230769231,0.153846154,0.076923077,NA
72,72,6/1/20,"Fox, Sharon Elizabeth",Cerebral hemodynamic response to faces and emotions in infants at high risk for autism,,2013,F,F,Facial processing in infants,A,A,A,V,static,A,A,A,lab,awake,"20 blocks of 5 different faces (presented for 800ms + 200ms ISI) - 10 upright blocks + 10 inverted blocks (5s each), separated by presentation of non-face object stimuli (at least 10s)","B,C",A,20,20,5,5,13.9 (7.8 upright blocks + 6.1 inverted blocks),69.5,100,5.38,5.38,5.02 to 6.13,5.02 to 6.13,non-newborn,8,0.533333333,None ,full-term,td,"full-term (>36 weeks gestation), birthweight >2500g, no known neurological or uncorrected visual abnormalities",Hitachi,ETG 4000,8,24,30,13,2,0,0,15,15,1,1,0.5,0.433333333,0.066666667,NA
73a,73,6/1/20,"Frie, J.; Bartocci, M.; Kuhn, P.",Neonatal cortical perceptions of maternal breast odours: A fNIRS study,"Acta Paediatrica, International Journal of Paediatrics",2019,I - Olfaction,I - Olfaction,Response to maternal breast odor,A,A,G - Odors ,Other,,I - Maternal breast odor and perfume-free detergent odor on cloth,B,"A,C",hospital,sleeping,"Newborns tested during active sleep, odors (maternal breast odor and control perfume-free detergent odor) presented on cloths 1cm below infant's nose for 10s each, with a minimum of 2min between stimulus presentations","A,D",A,2,2,10,10,Not reported ,Not reported ,20,8 days (very preterm group),0.266666667,3 to 25 days (very preterm group),Newborn,newborn,7,0.466666667,"Preterm, Swedish",preterm,td_risk,"no major congenital abnormalities or brain injuries, no analgesics 48 hours before testing, breastfed, 28 to 32 weeks gestation (very preterm group), 33 to 36 weeks gestation (late preterm group), 37 to 41 weeks gestation (full-term group)",NIRx,NIRScout,2,4,Not reported ,NA,Not reported,Not reported,Not reported,15,15,0,0,NA,NA,NA,NA
73b,73,6/1/20,"Frie, J.; Bartocci, M.; Kuhn, P.",Neonatal cortical perceptions of maternal breast odours: A fNIRS study,"Acta Paediatrica, International Journal of Paediatrics",2019,I - Olfaction,I - Olfaction,Response to maternal breast odor,A,A,G - Odors ,Other,,I - Maternal breast odor and perfume-free detergent odor on cloth,B,"A,C",hospital,sleeping,"Newborns tested during active sleep, odors (maternal breast odor and control perfume-free detergent odor) presented on cloths 1cm below infant's nose for 10s each, with a minimum of 2min between stimulus presentations","A,D",A,2,2,10,10,Not reported ,Not reported ,20,5 days (late preterm group),0.166666667,2 to 25 days (late preterm group),Newborn,newborn,2,0.153846154,"Preterm, Swedish",preterm,td_risk,"no major congenital abnormalities or brain injuries, no analgesics 48 hours before testing, breastfed, 28 to 32 weeks gestation (very preterm group), 33 to 36 weeks gestation (late preterm group), 37 to 41 weeks gestation (full-term group)",NIRx,NIRScout,2,4,Not reported ,NA,Not reported,Not reported,Not reported,13,13,0,0,NA,NA,NA,NA
73c,73,6/1/20,"Frie, J.; Bartocci, M.; Kuhn, P.",Neonatal cortical perceptions of maternal breast odours: A fNIRS study,"Acta Paediatrica, International Journal of Paediatrics",2019,I - Olfaction,I - Olfaction,Response to maternal breast odor,A,A,G - Odors ,Other,,I - Maternal breast odor and perfume-free detergent odor on cloth,B,"A,C",hospital,sleeping,"Newborns tested during active sleep, odors (maternal breast odor and control perfume-free detergent odor) presented on cloths 1cm below infant's nose for 10s each, with a minimum of 2min between stimulus presentations","A,D",A,2,2,10,10,Not reported ,Not reported ,20,2 days (full-term group),0.066666667,1 to 3 days (full-term group),Newborn,newborn,8,0.470588235,Swedish ,full-term,td,"no major congenital abnormalities or brain injuries, no analgesics 48 hours before testing, breastfed, 28 to 32 weeks gestation (very preterm group), 33 to 36 weeks gestation (late preterm group), 37 to 41 weeks gestation (full-term group)",NIRx,NIRScout,2,4,Not reported ,NA,Not reported,Not reported,Not reported,17,17,0,0,NA,NA,NA,NA
74a,74,6/1/20,"Frie, Jakob; Bartocci, Marco; Lagercrantz, Hugo; Kuhn, Pierre",Cortical responses to alien odors in newborns: An fNIRS study,Cerebral Cortex,2018,I - Olfaction,I - Olfaction,Cortical responses to trigeminal hospital odors,"A,B",A,G - Odors ,Other,,"I (cotton balls soaked in hand cleaner, adhesive remover, and distilled water)",B,"A,C,D",hospital,sleeping,"Newborns tested during active sleep, odors (hand cleaner, adhesive remover, and distilled water control) presented on cotton balls 1cm below infant's nose for 10s each, with a minimum of 2min between stimulus presentations then infants were given oral glucose and retested with same 3 odors 2min after oral glucose administration","A,B,D",A,6,6,10,10,Not reported ,Not reported ,60,8 days (very preterm group),0.266666667,3 to 25 days (very preterm group),Newborn,newborn,7,0.466666667,"Preterm, Swedish",preterm,td_risk,"no major congenital abnormalities or brain injuries, no analgesics/sedatives 48 hours before testing, 28 to 32 weeks gestation (very preterm group), 25 to 31 weeks gestation (very preterm at term-equivalent age group), 38 to 41 weeks gestation (full-term group)",NIRx,NIRScout,4,8,Not reported ,NA,Not reported ,Not reported ,Not reported,15,15,0,0,NA,NA,NA,NA
74b,74,6/1/20,"Frie, Jakob; Bartocci, Marco; Lagercrantz, Hugo; Kuhn, Pierre",Cortical responses to alien odors in newborns: An fNIRS study,Cerebral Cortex,2018,I - Olfaction,I - Olfaction,Cortical responses to trigeminal hospital odors,"A,B",A,G - Odors ,Other,,"I (cotton balls soaked in hand cleaner, adhesive remover, and distilled water)",B,"A,C,D",hospital,sleeping,"Newborns tested during active sleep, odors (hand cleaner, adhesive remover, and distilled water control) presented on cotton balls 1cm below infant's nose for 10s each, with a minimum of 2min between stimulus presentations then infants were given oral glucose and retested with same 3 odors 2min after oral glucose administration","A,B,D",A,6,6,10,10,Not reported ,Not reported ,60,79 days (very preterm at term-equivalent age group),2.633333333,64 to 113 days (very preterm at term-equivalent age),,newborn,5,0.416666667,"Preterm, Swedish",preterm,td_risk,"no major congenital abnormalities or brain injuries, no analgesics/sedatives 48 hours before testing, 28 to 32 weeks gestation (very preterm group), 25 to 31 weeks gestation (very preterm at term-equivalent age group), 38 to 41 weeks gestation (full-term group)",NIRx,NIRScout,4,8,Not reported ,NA,Not reported ,Not reported ,Not reported,12,12,0,0,NA,NA,NA,NA
74c,74,6/1/20,"Frie, Jakob; Bartocci, Marco; Lagercrantz, Hugo; Kuhn, Pierre",Cortical responses to alien odors in newborns: An fNIRS study,Cerebral Cortex,2018,I - Olfaction,I - Olfaction,Cortical responses to trigeminal hospital odors,"A,B",A,G - Odors ,Other,,"I (cotton balls soaked in hand cleaner, adhesive remover, and distilled water)",B,"A,C,D",hospital,sleeping,"Newborns tested during active sleep, odors (hand cleaner, adhesive remover, and distilled water control) presented on cotton balls 1cm below infant's nose for 10s each, with a minimum of 2min between stimulus presentations then infants were given oral glucose and retested with same 3 odors 2min after oral glucose administration","A,B,D",A,6,6,10,10,Not reported ,Not reported ,60,2 days (full-term group),0.066666667,1 to 3 days (full-term group),Newborn,newborn,8,0.470588235,Swedish,full-term,td,"no major congenital abnormalities or brain injuries, no analgesics/sedatives 48 hours before testing, 28 to 32 weeks gestation (very preterm group), 25 to 31 weeks gestation (very preterm at term-equivalent age group), 38 to 41 weeks gestation (full-term group)",NIRx,NIRScout,4,8,Not reported ,NA,Not reported ,Not reported ,Not reported,17,17,0,0,NA,NA,NA,NA
75a,75,6/30/20,"Frie, Jakob; Padilla, Nelly; äš_í_däš_Œ©n, Ulrika; Lagercrantz, Hugo; Bartocci, Marco",Extremely preterm-born infants demonstrate different facial recognition processes at 6-10 months of corrected age,The Journal of Pediatrics,2016,F,F,Frontotemporal cortex responses to mother's face vs. unknown face in extremely preterm vs. full-term infants,A,A,A,V,static,A,B,"A,C",lab,awake,"Presentation of mother's face and unfamiliar face (15s each), separated by 15s baseline gray screen, counterbalanced order: group A=mother's face first, group B=unfamiliar face first","A,D",A,2,2,15,15,Not reported ,Not reported ,30,241 days (preterm group),8.03,6 to 10 (corrected age for preterm group),6 to 10,non-newborn,13,0.481481481,"Preterm, Japanese",preterm,td_risk,"<28 weeks gestation, no PVL or other major brain abnormalities, no retinopathy of prematurity, no IVH grade 3 or 4 on neonatal ultrasound, focal brain lesions, persistent ventricular dilation, or moderate/severe white matter abnormalities based on structural MRI (preterm group)",Hamamatsu,NIRO 200 or 300,1,2,33,6,0,0,0,27,27,1,1,0.181818182,0.181818182,NA,NA
